id,rank,title_en,year,rating,persons
tt2278388,184,The Grand Budapest Hotel,(2014),"8.1 based on 835,746 user ratings","Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
tt0047296,185,On the Waterfront,(1954),"8.1 based on 158,238 user ratings","Elia Kazan (dir.), Marlon Brando, Karl Malden"
tt2267998,186,Gone Girl,(2014),"8.1 based on 1,006,065 user ratings","David Fincher (dir.), Ben Affleck, Rosamund Pike"
tt0050986,187,Wild Strawberries,(1957),"8.1 based on 109,776 user ratings","Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
tt0017925,188,The General,(1926),"8.1 based on 93,669 user ratings","Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
tt0072684,189,Barry Lyndon,(1975),"8.1 based on 173,281 user ratings","Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
tt0107207,190,In the Name of the Father,(1993),"8.1 based on 179,493 user ratings","Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
tt0077416,191,The Deer Hunter,(1978),"8.1 based on 346,072 user ratings","Michael Cimino (dir.), Robert De Niro, Christopher Walken"
tt2119532,192,Hacksaw Ridge,(2016),"8.1 based on 547,335 user ratings","Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
tt0041959,193,The Third Man,(1949),"8.1 based on 175,068 user ratings","Carol Reed (dir.), Orson Welles, Joseph Cotten"
tt0046268,194,The Wages of Fear,(1953),"8.1 based on 63,025 user ratings","Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
tt0353969,195,Memories of Murder,(2003),"8.1 based on 194,809 user ratings","Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
tt3011894,196,Wild Tales,(2014),"8.1 based on 204,572 user ratings","Damián Szifron (dir.), Darío Grandinetti, María Marull"
tt0015324,197,Sherlock Jr.,(1924),"8.1 based on 52,193 user ratings","Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
tt10366206,198,John Wick: Chapter 4,(2023),"8.1 based on 144,370 user ratings","Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne"
